nazwa_obiektu;wojewodztwo;kategoria_obiektu;adres;wspolrzedne;wikipedia_opis;google_maps_link;stopien_odznaki;status
popularny;;;;;;;obiekty przystosowane do ruchu turystycznego obiekty zwiedzane z wasciwym terenowo przewodnikiem obiekty, przez ktore przebiega szlak turystyczny;RAW
brazowy;;;;;;;;RAW
srebrny;;;;;;;z minimum 2 regionow;RAW
zoty;;;;;;;z minimum 3 regionow;RAW
