nazwa_obiektu;wojewodztwo;kategoria_obiektu;adres;wspolrzedne;wikipedia_opis;google_maps_link;stopien_odznaki
Popularna;5;Maksymalnie 1 quest wirtualny;;;;DO_UZUPELNIENIA;RAW
Kategoria maa;;;;;;DO_UZUPELNIENIA;RAW
Brazowa;15;"Ukonczone questy w co najmniej 2 wojewodztwach; maksymalnie 2 questy wirtualne*";;;;DO_UZUPELNIENIA;RAW
Srebrna;50;"Ukonczone questy w co najmniej 5 wojewodztwach; maksymalnie 5 questow wirtualnych*";;;;DO_UZUPELNIENIA;RAW
Zota;100;"Ukonczone questy w co najmniej 10 wojewodztwach; maksymalnie 10 questow wirtualnych*";;;;DO_UZUPELNIENIA;RAW
Kategoria duza;;;;;;DO_UZUPELNIENIA;RAW
Brazowa;200;"Ukonczone questy w co najmniej 12 wojewodztwach; maksymalnie 20 questow wirtualnych*";;;;DO_UZUPELNIENIA;RAW
Srebrna;350;"Ukonczone questy w co najmniej 14 wojewodztwach; maksymalnie 35 questow wirtualnych* oraz przynajmniej 15 rowerowych";;;;DO_UZUPELNIENIA;RAW
Zota;500;"Ukonczone questy w 16 wojewodztwach; maksymalnie 50 questow wirtualnych* oraz przynajmniej 5 kajakowych";;;;DO_UZUPELNIENIA;RAW
