nazwa_obiektu;wojewodztwo;kategoria_obiektu;adres;wspolrzedne;wikipedia_opis;google_maps_link;stopien_odznaki
Katedra Gnieznienska;wielkopolskie;katedra;Gniezno;;;DO_UZUPELNIENIA;RAW
Katedra Poznanska;wielkopolskie;katedra;Poznan;;;DO_UZUPELNIENIA;RAW
Muzeum Poczatkow Panstwa Polskiego;wielkopolskie;muzeum;Gniezno;;;DO_UZUPELNIENIA;RAW
Muzeum Archidiecezjalne w Gnieznie;wielkopolskie;muzeum;Gniezno;;;DO_UZUPELNIENIA;RAW
Muzeum Pierwszych Piastow na Lednicy;wielkopolskie;muzeum;Lednica;;;DO_UZUPELNIENIA;RAW
Dziekanowice - Ostrow Lednicki;wielkopolskie;stanowisko archeologiczne;Dziekanowice;;;DO_UZUPELNIENIA;RAW
Rezerwat Archeologiczny w Gieczu;wielkopolskie;rezerwat archeologiczny;Giecz;;;DO_UZUPELNIENIA;RAW
Rezerwat Archeologiczny Grod w Grzybowie;wielkopolskie;rezerwat archeologiczny;Grzybowo;;;DO_UZUPELNIENIA;RAW
Muzeum - Romanski Osrodek Kultury im. Ottona i Boleslawa;kujawsko-pomorskie;muzeum;Strzelno;;;DO_UZUPELNIENIA;RAW
